STT;SACH;BAI;CHUDE;MUCDO;CAUHOI;CAUTRALOI;DAPAN;MA_YCCD;NOIDUNG_YCCD
11;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Trong chương trình THPT, các kiểu dữ liệu nào được đề cập?;Văn bản, số.~Lôgic.~Đa phương tiện.~Tất cả các đáp án đều đúng;Tất cả các đáp án đều đúng;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode)
12;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Vận dụng;Dãy bit nào dưới đây là biểu diễn nhị phân của số “3” trong hệ thập phân?;11.~101.~001.~01.;11;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode)
13;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Phép cộng trong hệ nhị phân được thực hiện như thế nào?;Tương tự như hệ thập phân.~Khác với hệ thập phân.~Ngược với hệ thập phân.~Từ trái sang phải.;Tương tự như hệ thập phân.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode)
14;Kết nối tri thức;Hệ nhị phân và dữ liệu số nguyên;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Như em đã biết một bit nhận một trong hai giá trị tương ứng với hai kí hiệu 0 và 1. Như vậy, dùng một bit ta có thể biểu diễn trạng thái của một bóng đèn: đèn tắt là 0, đèn sáng là 1. Nếu có 4 bóng đèn để cạnh nhau hai bóng đèn đầu sáng, hai bóng đèn sau tắt thì dãy nhị phân được biểu diễn trong máy tính là:;0011.~1100.~0101.~1010.;1100;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode)
15;Kết nối tri thức;Dữ liệu lôgic;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Các đại lượng logic có thể nhận các giá trị nào sau đây?;Đúng hoặc Sai.~Lớn hơn hoặc nhỏ hơn.~Bằng nhau.~Không thể nhận giá trị nào.;Đúng hoặc Sai.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode)
16;Kết nối tri thức;Dữ liệu lôgic;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Thông hiểu;Tìm mệnh đề sai trong các mệnh đề sau:;9 là số chính phương.~23 là số nguyên tố.~0 là số tự nhiên nhỏ nhất có 1 chữ số.~10 là số nguyên tố và là số tự nhiên nhỏ nhất có 2 chữ số.;10 là số nguyên tố và là số tự nhiên nhỏ nhất có 2 chữ số.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode)
17;Kết nối tri thức;Dữ liệu lôgic;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Trong một biểu thức lôgic, phép nào được thực hiện trước tiên?;Phép tuyển.~Phép hợp.~Các phép toán trong dấu ngoặc.~Đồng thời tất cả.;Các phép toán trong dấu ngoặc;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode)
18;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Chu kì lấy mẫu là gì?;Khoảng thời gian giữa 2 lần điều chế mã xung.~Khoảng thời gian giữa 3 lần lấy mã xung.~Khoảng thời gian giữa 2 lần lấy mã xung.~Là thời điểm cách đều nhau.;Khoảng thời gian giữa 2 lần lấy mã xung.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
19;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Hình ảnh hiển thị trên máy tính sử dụng hệ màu nào?;RBY.~RG~CMYK.~Tất cả đều đúng;RGB;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
20;Kết nối tri thức;Dữ liệu âm thanh và hình ảnh;CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC;Nhận biết;Lấy mẫu là công việc được thức hiện ở bước nào trong phương pháp cơ bản số hoá âm thanh?;Bước 2.~Bước 1.~Bước 3.~Bước 4.;Bước 1.;A8;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh
21;Kết nối tri thức;Mạng máy tính trong cuộc sống hiện đại;CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET;Nhận biết;Mạng cục bộ viết tắt là gì?;LAN.~WAN.~MC~Không có kí tự viết tắt.;LAN.;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. 
22;Kết nối tri thức;Mạng máy tính trong cuộc sống hiện đại;CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET;Nhận biết;Phần mềm có thể chia thành mấy nhóm?;3.~2.~4.~5.;2;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. 
23;Kết nối tri thức;Mạng máy tính trong cuộc sống hiện đại;CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET;Nhận biết;Các thiết bị sau đây, thiết bị nào không phải là thiết bị mạng?;Vỉ mạng.~Hub.~Môdem.~Webcam.;Webcam.;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. 
24;Kết nối tri thức;An toàn trên không gian mạng ;CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET;Nhận biết;Theo cơ chế lây nhiễm, có mấy loại phần mềm độc hại?;3.~2.~4.~5.;2;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. 
25;Kết nối tri thức;An toàn trên không gian mạng ;CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET;Nhận biết;Có mấy kiểu quét trong Window Defender?;1.~2.~3.~4.;4;B1;Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. 
26;Kết nối tri thức;Ứng xử trên môi trường số. Nghĩa vụ tôn trọng bản quyền;CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HÓA TRONG MÔI TRƯỜNG SỐ;Nhận biết;Nghị định 15/2020/NĐ-CP ban hành ngày 3/2/2020 quy định điều gì?;Chống thư rác.~Quản lí, cung cấp và sử dụng dịch vụ Internet.~Xử phạt vi phạm hành chính trong lĩnh vực bưu chính, viễn thông, tần số vô tuyến điện, CNTT và giao dịch điện tử.~Quy tắc ứng xử trên mạng xã hội.;Xử phạt vi phạm hành chính trong lĩnh vực bưu chính, viễn thông, tần số vô tuyến điện, CNTT và giao dịch điện tử.;D1~D2~D3~D4~D6~D5~D7;Nêu được một số vấn đề nảy sinh về pháp luật, đạo đức, văn hoá khi việc giao tiếp qua mạng trở nên phổ biến.~Nêu được ví dụ minh hoạ sự vi phạm bản quyền thông tin và sản phẩm số, qua ví dụ đó giải thích được sự vi phạm đã diễn ra thế nào và có thể dẫn tới hậu quả gì.~Trình bày và giải thích được một số nội dung cơ bản của Luật Công nghệ thông tin, Nghị định về quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ Công nghệ thông tin, Luật An ninh mạng. Nêu được ví dụ minh hoạ.~Giải thích được một số khía cạnh pháp lí của vấn đề bản quyền, của việc sở hữu, sử dụng và trao đổi thông tin trong môi trường số. Nêu được ví dụ minh hoạ.~Nêu được ví dụ về những tác hại của việc chia sẻ và phổ biến thông tin một cách bất cẩn~Vận dụng được Luật và Nghị định nêu trên để xác định được tính hợp pháp của một hành vi nào đótrong lĩnh vực quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ Công nghệ thông tin.~Nêu được một vài biện pháp đơn giản và thông dụng để nâng cao tính an toàn và hợp pháp của việc chia sẻ thông tin trong môi trường số.
27;Kết nối tri thức;Ứng xử trên môi trường số. Nghĩa vụ tôn trọng bản quyền;CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HÓA TRONG MÔI TRƯỜNG SỐ;Nhận biết;Công bố thông tin cá nhân hay tổ chức mà không được phép là loại hành vi vi phạm gì?;Vi phạm đạo đức.~Vi phạm pháp luật.~Vi phạm đạo đức và vi phạm pháp luận~Không vi phạm.;Vi phạm pháp luật.;D1~D2~D3~D4~D6~D5~D7;Nêu được một số vấn đề nảy sinh về pháp luật, đạo đức, văn hoá khi việc giao tiếp qua mạng trở nên phổ biến.~Nêu được ví dụ minh hoạ sự vi phạm bản quyền thông tin và sản phẩm số, qua ví dụ đó giải thích được sự vi phạm đã diễn ra thế nào và có thể dẫn tới hậu quả gì.~Trình bày và giải thích được một số nội dung cơ bản của Luật Công nghệ thông tin, Nghị định về quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ Công nghệ thông tin, Luật An ninh mạng. Nêu được ví dụ minh hoạ.~Giải thích được một số khía cạnh pháp lí của vấn đề bản quyền, của việc sở hữu, sử dụng và trao đổi thông tin trong môi trường số. Nêu được ví dụ minh hoạ.~Nêu được ví dụ về những tác hại của việc chia sẻ và phổ biến thông tin một cách bất cẩn~Vận dụng được Luật và Nghị định nêu trên để xác định được tính hợp pháp của một hành vi nào đótrong lĩnh vực quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ Công nghệ thông tin.~Nêu được một vài biện pháp đơn giản và thông dụng để nâng cao tính an toàn và hợp pháp của việc chia sẻ thông tin trong môi trường số.
28;Kết nối tri thức;Phần mềm thiết kế đồ họa ;CHỦ ĐỀ E. ỨNG DỤNG TIN HỌC;Nhận biết;Phần mềm Inkscape có sản phẩm đuôi mở rộng là;.ink.~.scp.~.svg.~.pts.;.svg.;E1~E2;Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.~Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,…~
29;Kết nối tri thức;Bổ sung các đối tượng đồ họa ;CHỦ ĐỀ E. ỨNG DỤNG TIN HỌC;Nhận biết;Phép hợp các đối tượng đồ họa cần dùng tổ hợp phím gì?;Ctrl + /.~Ctrl + +.~Ctrl + -.~Ctrl + *.;Ctrl + +.;E1~E2;Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.~Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,…~
30;Kết nối tri thức;Làm việc với đối tượng đường và văn bản ;CHỦ ĐỀ E. ỨNG DỤNG TIN HỌC;Nhận biết;Chọn từ còn thiếu trong câu sau: Khi nối các đoạn thẳng hoặc đoạn cong với nhau ta thu được đường cong … hơn;đơn giản.~phức tạp.~cong.~thẳng.;phức tạp.;E1~E2;Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.~Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,…~
31;Kết nối tri thức;Hoàn thiện hình ảnh đồ họa ;CHỦ ĐỀ E. ỨNG DỤNG TIN HỌC;Nhận biết;Khi muốn chỉ xuất tệp ảnh cho các đối tượng đang được chọn ta chọn phần nào?;Filename.~Page.~Selection.~Image size.;Selection.;E1~E3;Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ
32;Kết nối tri thức;Câu lệnh lặp for;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;Cho đoạn chương trình: j = 0 for i in range(5): j = j + i print(j) Sau khi thực hiện chương trình giá trị của biến j bằng bao nhiêu?;10.~12.~15.~14.;10;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
33;Kết nối tri thức;Câu lệnh lặp for;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;Cho đoạn lệnh sau: for i in range(1,10,2): print(i) Trên màn hình i có các giá trị là:;1,3,5,7,9.~1,2,3,4,5,6,7,8,9,10.~1,3,5,7,9,10.~1,3,5,7,10.;1,3,5,7,9.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
34;Kết nối tri thức;Câu lệnh lặp for;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Số công việc cần phải lặp với số lần xác định? 1) Đếm số học sinh của lớp. 2) Đếm số chia hết cho 5 trong đoạn từ 10 tới 100. 3) Đọc tên lần lượt từng học sinh của một lớp có 30 em. 4) Chạy 5 vòng sân bóng. 5) Tính tổng các số có 2 chữ số.;3.~4.~5.~2.;4;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
35;Kết nối tri thức;Câu lệnh lặp for;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Xác định số vòng lặp cho bài toán: tính tổng các số nguyên từ 1 đến 100?;1.~100.~99.~Tất cả đều sai.;100;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
36;Kết nối tri thức;Câu lệnh lặp for;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;Cho đoạn lệnh sau: for i in range(5): print(i) Trên màn hình i có các giá trị là:;0 1 2 3 4 5.~1 2 3 4 5.~0 1 2 3 4.~1 2 3 4.;0 1 2 3 4.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
37;Kết nối tri thức;Câu lệnh lặp While;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;Câu lệnh sau giải bài toán nào: while M != N: if M > N: M = M – N else: N = N – M;Tìm UCLN của M và N.~Tìm BCNN của M và N.~Tìm hiệu nhỏ nhất của M và N.~Tìm hiệu lớn nhất của M và N.;Tìm UCLN của M và N.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
38;Kết nối tri thức;Câu lệnh lặp While;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Thông hiểu;Vòng lặp while - do kết thúc khi nào?;Khi một số điều kiện cho trước thoả mãn.~Khi đủ số vòng lặp.~Khi tìm được output.~Tất cả các phương án.;Khi một số điều kiện cho trước thoả mãn.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
39;Kết nối tri thức;Câu lệnh lặp While;CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH;Vận dụng;Cho đoạn chương trình python sau: Tong = 0 while Tong < 10: Tong = Tong + 1 Sau khi đoạn chương trình trên được thực hiện, giá trị của tổng bằng bao nhiêu:;9.~10.~11.~12.;10;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học
